Date,Year,Location,Site,Temperature_C,UncompensatedConductivity_C,Turbidity_NTU,Enterococci_conc_CFU100ml,Tot_coliform_conc_CFU100ml,EcoliConc_CFU100ml,Chlorophyll,Phyococyanin,CDOM,OB
7/15/2015,2015,SawKill,4,-999,,2.68,,,,,,,
4/10/2016,2016,SawKill,1,7.3,-999,1.42,1,377,-0.999,,,,
4/10/2016,2016,SawKill,2,6.8,-999,1.21,-0.999,448,10,,,,
4/10/2016,2016,SawKill,3,7.1,-999,1.09,-0.999,305,-0.999,,,,
5/20/2016,2016,SawKill,1,14.7,91.3,1.55,4.1,38.8,10.7,,,,
5/20/2016,2016,SawKill,2,15.1,93.5,1.52,7.4,20.3,5.2,,,,
5/20/2016,2016,SawKill,3,15.3,95.2,1.47,5.2,21.8,6.3,,,,
5/20/2016,2016,SawKill,4,15.5,106.6,1.5,4.1,85.7,10.9,,,,
5/20/2016,2016,SawKill,5,15.6,109.2,1.92,17.1,90.8,23.3,,,,
5/20/2016,2016,SawKill,6,13,85,4.45,116,248.1,125,,,,
5/20/2016,2016,SawKill,8,14.8,247.2,8.3,14.6,24.9,2,,,,
5/20/2016,2016,SawKill,9,13.2,79.9,1.65,18.3,48.7,8.6,,,,
5/20/2016,2016,SawKill,10,14.1,96.8,1.17,45,67.7,7.4,,,,
5/20/2016,2016,SawKill,11,14.1,177,2.54,14.8,33.1,-0.999,,,,
5/20/2016,2016,SawKill,12,13.8,163.7,1.9,5.2,159.7,7.5,,,,
5/20/2016,2016,SawKill,14,12.4,88.4,0.37,21.8,111.2,3,,,,
6/17/2016,2016,SawKill,12,17.5,222.5,2.32,11,36.7,4.1,,,,
6/17/2016,2016,SawKill,8,16.8,284.8,4.92,143.9,613.1,3,,,,
6/17/2016,2016,SawKill,6,15.4,808,5.16,283.6,372.4,8.3,,,,
6/17/2016,2016,SawKill,4,20.6,425.6,1.82,39.5,40.6,5.1,,,,
6/17/2016,2016,SawKill,5,18.8,415,3.77,75.5,82.4,3,,,,
6/17/2016,2016,SawKill,9,15,338.5,2.16,46,208.4,10.1,,,,
6/17/2016,2016,SawKill,10,16.7,336.5,1.56,140.8,188.2,1,,,,
6/17/2016,2016,SawKill,11,17.4,286.9,3.25,18.1,-999,0,,,,
6/17/2016,2016,SawKill,14,13.4,270.2,0.27,78,235.2,1,,,,
6/17/2016,2016,SawKill,3,19.8,411.4,3.5,15.2,,,,,,
6/17/2016,2016,SawKill,1,19.4,394.7,7.51,37.5,129.9,1,,,,
6/17/2016,2016,SawKill,2,19.5,412,3.74,29.6,14.6,5.2,,,,
7/15/2016,2016,SawKill,8,20.4,273.7,6.3,63.4,1906.3,33.1,,,,
7/15/2016,2016,SawKill,1,22.8,382.3,2.94,212,266.7,11,,,,
7/15/2016,2016,SawKill,12,21,178.5,4.09,90.7,1413.6,105.4,,,,
7/15/2016,2016,SawKill,11,21.4,214.7,5.81,80.9,149.5,45.2,,,,
7/15/2016,2016,SawKill,2,22.7,40.2,3.68,42.3,,,,,,
7/15/2016,2016,SawKill,9,19.3,370.4,2.26,387.4,613.1,48.7,,,,
7/15/2016,2016,SawKill,10,21.3,298.6,4.04,241.1,866.4,127.4,,,,
7/15/2016,2016,SawKill,14,16.7,278.8,1.31,77.3,124.7,20.6,,,,
7/15/2016,2016,SawKill,3,22.7,400.2,3.54,46.5,35,3.1,,,,
7/15/2016,2016,SawKill,6,17.5,814,2.08,-24197,2419.6,62,,,,
7/15/2016,2016,SawKill,4,22.9,411.7,,1413.6,2419.6,96.7,,,,
7/15/2016,2016,SawKill,5,22.2,407,2.53,258.1,547.5,18.5,,,,
8/19/2016,2016,SawKill,1,22.7,-999,1.23,34.7,32.6,1,,,,
8/19/2016,2016,SawKill,2,22.8,-999,2.2,35.7,0,-0.999,,,,
8/19/2016,2016,SawKill,3,22.8,-999,2.11,39.4,325.5,3,,,,
8/19/2016,2016,SawKill,4,23.5,468.5,2.1,81.4,387.3,1,,,,
8/19/2016,2016,SawKill,5,22.2,449.5,1.55,97.5,144.5,1,,,,
8/19/2016,2016,SawKill,6,20.1,818,1.36,691,-24197,12.1,,,,
8/19/2016,2016,SawKill,8,21.1,371.3,3.32,211,436,2,,,,
8/19/2016,2016,SawKill,11,20.8,259.7,2.41,292.4,261.3,1,,,,
8/19/2016,2016,SawKill,12,21.6,77.5,1.86,145.9,344.8,-0.999,,,,
8/19/2016,2016,SawKill,9,18.4,209.9,-999,-999,0,0,,,,
8/19/2016,2016,SawKill,10,20.5,364.5,2.42,529.8,980.4,3,,,,
8/19/2016,2016,SawKill,14,15,337.5,1.14,70.5,214.2,1,,,,
9/21/2016,2016,SawKill,1,20.7,467,1.27,3.1,90,14.6,,,,
9/21/2016,2016,SawKill,2,20.6,472,3.94,14.8,61.6,3,,,,
9/21/2016,2016,SawKill,3,20.6,470.8,2.17,4.1,57.3,4.1,,,,
9/21/2016,2016,SawKill,4,20.4,471,2.9,6.3,93.6,7.4,,,,
9/21/2016,2016,SawKill,5,18.5,404.4,1.27,8.6,416,46.5,,,,
9/21/2016,2016,SawKill,6,15.8,790,1.24,20.3,91.7,26.6,,,,
9/21/2016,2016,SawKill,7,19.9,384.8,1.34,7.5,319.9,121,,,,
9/21/2016,2016,SawKill,8,-999,-999,-999,-999,-999,-999,,,,
9/21/2016,2016,SawKill,9,17.4,374,1.97,24.9,139.6,8.5,,,,
9/21/2016,2016,SawKill,10,18.1,360,1.96,23.1,172.5,39.9,,,,
9/21/2016,2016,SawKill,11,18.9,204.6,1.64,11,65.7,13.5,,,,
9/21/2016,2016,SawKill,12,19.5,214.4,1.62,19.9,214.3,4.1,,,,
9/21/2016,2016,SawKill,14,15.3,260,0.58,9.8,121.1,5.2,,,,
10/19/2016,2016,SawKill,1,-999,-999,9.14,,387.3,19.7,,,,
10/19/2016,2016,SawKill,2,24,334,1.58,,52,7.5,,,,
10/19/2016,2016,SawKill,3,17.2,436,1.29,,62.2,4.1,,,,
10/19/2016,2016,SawKill,4,16.7,419.2,2.57,,46.2,7.5,,,,
10/19/2016,2016,SawKill,5,17.1,450.8,0.9,,186,37.9,,,,
10/19/2016,2016,SawKill,6,17.6,798,1.16,,77,18.3,,,,
10/19/2016,2016,SawKill,7,17.2,444.9,1.16,,64.5,3.1,,,,
10/19/2016,2016,SawKill,8,-999,-999,-999,,-999,-999,,,,
10/19/2016,2016,SawKill,9,18.9,392.9,1.15,,136.8,18.9,,,,
10/19/2016,2016,SawKill,10,18.2,393.9,2.25,,203.5,20.9,,,,
10/19/2016,2016,SawKill,11,17.6,307,1.26,,25.7,-999,,,,
10/19/2016,2016,SawKill,12,17,220,1.89,,42.7,-0.999,,,,
10/19/2016,2016,SawKill,14,16.6,255,0.94,,33.8,4.1,,,,
10/19/2016,2016,SawKill,NA,-999,,,-999,,,,,,
11/16/2016,2016,SawKill,1,8.6,286,15.9,90.4,686.7,77.1,,,,
11/16/2016,2016,SawKill,2,7.7,281,5.6,352.4,435.2,50.4,,,,
11/16/2016,2016,SawKill,3,7.7,278.6,6.37,6.3,816.4,71.7,,,,
11/16/2016,2016,SawKill,4,7.4,274.3,4.82,51.8,727,60.9,,,,
11/16/2016,2016,SawKill,5,7.6,249.5,6.49,-24197,-24197,206.4,,,,
11/16/2016,2016,SawKill,6,10.2,434,3.67,-24197,1046.2,124.6,,,,
11/16/2016,2016,SawKill,7,7.3,232.5,4.49,19.2,330,128.1,,,,
11/16/2016,2016,SawKill,8,8.3,248.3,2.7,17.4,298.7,32.3,,,,
11/16/2016,2016,SawKill,9,10.4,265.5,3.99,-999,16.9,7.5,,,,
11/16/2016,2016,SawKill,10,8.6,195.7,5.26,1553.1,980.4,59.4,,,,
11/16/2016,2016,SawKill,11,7.3,156.5,5.92,5.2,41.1,29.1,,,,
11/16/2016,2016,SawKill,12,7.4,104.9,5.5,183.3,816.4,137.4,,,,
11/16/2016,2016,SawKill,14,11.8,286.7,1.38,2,14.6,2,,,,
12/14/2016,2016,SawKill,1,2.6,224,4.27,20.6,-999,-999,,,,
12/14/2016,2016,SawKill,2,2.6,223.5,9.64,32.5,53,5.2,,,,
12/14/2016,2016,SawKill,3,2.3,219.5,2.79,16.3,-999,-999,,,,
12/14/2016,2016,SawKill,4,2.5,220,3.11,26.2,16,7.5,,,,
12/14/2016,2016,SawKill,5,3.1,219.5,2.13,11.2,17.3,6.3,,,,
12/14/2016,2016,SawKill,6,4.4,414.5,1.79,58.2,28.2,13.5,,,,
12/14/2016,2016,SawKill,7,3.1,199.8,1.97,18.7,7.5,2,,,,
12/14/2016,2016,SawKill,8,2.4,208.1,2.03,7.2,0.9,-0.999,,,,
12/14/2016,2016,SawKill,9,5,242.6,0.47,20.6,10.8,-0.999,,,,
12/14/2016,2016,SawKill,10,3.5,172.6,1.34,61.3,2,-999,,,,
12/14/2016,2016,SawKill,11,2.2,114.3,13.8,15.5,-999,-999,,,,
12/14/2016,2016,SawKill,12,2.8,143.5,1.21,12.2,8.6,4.1,,,,
12/14/2016,2016,SawKill,14,7.5,211.4,,28.4,1,1,,,,
12/15/2016,2016,SawKill,14,-999,,1.15,,,,,,,
2/10/2017,2017,SawKill,1,17.6,184.6,5.41,-0.999,11,1,,,,
2/10/2017,2017,SawKill,2,4.9,122,4.51,1,12.1,2,,,,
2/10/2017,2017,SawKill,3,-999,-999,3.84,-0.999,4.1,1,,,,
2/10/2017,2017,SawKill,4,0.5,197.5,2.35,2,13.4,2,,,,
2/10/2017,2017,SawKill,5,1.1,196.6,1.85,1,10.8,2,,,,
2/10/2017,2017,SawKill,6,1.4,377.5,1.11,15.8,62.4,2,,,,
2/10/2017,2017,SawKill,7,1.1,186.2,1.35,2,1,-0.999,,,,
2/10/2017,2017,SawKill,8,0.3,148.5,1.13,-0.999,2,1,,,,
2/10/2017,2017,SawKill,9,1.7,195.6,0.89,5.1,4.1,2,,,,
2/10/2017,2017,SawKill,10,0.5,158.7,1.86,6.3,4.1,-0.999,,,,
2/10/2017,2017,SawKill,11,0.7,127,1.8,3,37.3,1,,,,
2/10/2017,2017,SawKill,12,1.1,109.9,1.24,8.6,4.1,-0.999,,,,
2/10/2017,2017,SawKill,14,6.4,210,0.84,14.2,0.9,-0.999,,,,
3/10/2017,2017,SawKill,5,5.1,361.1,2.44,1,9.8,-0.999,,,,
3/10/2017,2017,SawKill,4,5.4,215.3,1.95,12.4,17.3,4.1,,,,
3/10/2017,2017,SawKill,6,3.4,729,1.5,32.2,69.1,59.4,,,,
3/10/2017,2017,SawKill,7,5.6,336.5,2.7,4.1,19.9,-0.999,,,,
3/10/2017,2017,SawKill,9,4.3,213.5,1.59,3,24.6,2,,,,
3/10/2017,2017,SawKill,14,5.7,233.3,1.01,139.6,47.9,7.5,,,,
3/10/2017,2017,SawKill,10,3.6,186.8,1.69,7.2,30.5,2,,,,
3/10/2017,2017,SawKill,8,2.8,58.3,1.71,2,9.8,-0.999,,,,
3/10/2017,2017,SawKill,3,5.5,227.4,1.69,9.4,48.7,7.4,,,,
3/10/2017,2017,SawKill,2,5.4,231.1,1.47,23.1,30.9,12.2,,,,
3/10/2017,2017,SawKill,1,5.8,220.7,2.22,8.4,10.9,4.1,,,,
3/10/2017,2017,SawKill,11,-999,,1.87,2,22.8,-0.999,,,,
3/10/2017,2017,SawKill,12,-999,,1.38,1,16.9,-0.999,,,,
4/14/2017,2017,SawKill,1,13.3,0.2721,2.71,10.8,11.8,1,,,,
4/14/2017,2017,SawKill,2,11.7,0.2552,2.42,13.2,90.6,8.6,,,,
4/14/2017,2017,SawKill,3,11.2,0.2643,2.52,6.1,19.5,3.1,,,,
4/14/2017,2017,SawKill,4,10.8,268.3,2.49,4,36.8,3.1,,,,
4/14/2017,2017,SawKill,5,11,266.6,3.18,5.2,30.3,2,,,,
4/14/2017,2017,SawKill,6,10.8,573,1.43,16.4,23.6,3.1,,,,
4/14/2017,2017,SawKill,7,10.6,248.6,2.2,7.4,7,-0.999,,,,
4/14/2017,2017,SawKill,8,10.7,178.2,2.45,6.3,76.8,-0.999,,,,
4/14/2017,2017,SawKill,9,10.2,264.2,2.11,20.1,34.6,3,,,,
4/14/2017,2017,SawKill,10,10.4,234.2,3.06,8.1,35,-0.999,,,,
4/14/2017,2017,SawKill,11,10.1,176.4,2.16,3.1,28.7,-0.999,,,,
4/14/2017,2017,SawKill,12,9.6,131.5,1.76,5,12.8,-0.999,,,,
4/14/2017,2017,SawKill,14,10.7,259.6,1.35,3,9.4,-0.999,,,,
5/12/2017,2017,SawKill,1,15.3,0.36,1.85,23.3,110.6,13.4,,,,
5/12/2017,2017,SawKill,2,13.2,0.311,3.01,6.3,127.4,18.9,,,,
5/12/2017,2017,SawKill,3,13,0.3077,2.13,12.2,93.3,6.3,,,,
5/12/2017,2017,SawKill,12,11.5,134,1.96,9.8,27.2,6.3,,,,
5/12/2017,2017,SawKill,11,11.7,175.1,2.5,13.5,261.3,11,,,,
5/12/2017,2017,SawKill,8,12,193.4,5.43,2,178.2,2,,,,
5/12/2017,2017,SawKill,10,11.7,237.5,2.58,28.5,12.5,-0.999,,,,
5/12/2017,2017,SawKill,9,11,277.4,1.67,14.8,123.4,1,,,,
5/12/2017,2017,SawKill,14,11.4,224.6,4.11,31.8,11.3,2,,,,
5/12/2017,2017,SawKill,4,12.6,288.1,1.04,4.1,70,12.2,,,,
5/12/2017,2017,SawKill,5,12.8,282.2,2.51,7.4,47.1,8.5,,,,
5/12/2017,2017,SawKill,7,12.1,264.2,4.64,18.5,43.3,6.3,,,,
5/12/2017,2017,SawKill,6,12.3,622,1.03,34.1,100.8,3.1,,,,
6/9/2017,2017,SawKill,1,17,-999,1.87,16.8,20.1,6.2,,,,
6/9/2017,2017,SawKill,2,-999,-999,1.94,11.5,28.3,8.4,,,,
6/9/2017,2017,SawKill,3,-999,-999,1.9,12.5,100.5,14.6,,,,
6/9/2017,2017,SawKill,4,15.3,302.5,1.37,18.1,101,14.6,,,,
6/9/2017,2017,SawKill,5,15,310.2,1.5,49,198.9,15.8,,,,
6/9/2017,2017,SawKill,6,13,666,5.92,68.7,1413.6,105.4,,,,
6/9/2017,2017,SawKill,7,14.8,287,1.75,68.7,127.4,14.4,,,,
6/9/2017,2017,SawKill,8,14.7,248.3,6,7,44.5,2,,,,
6/9/2017,2017,SawKill,9,12.7,289,1.26,64.4,488.4,8.6,,,,
6/9/2017,2017,SawKill,10,13.8,259.2,1.44,60.2,770.1,37.9,,,,
6/9/2017,2017,SawKill,11,14.3,192.6,2.33,15.5,62.6,9.8,,,,
6/9/2017,2017,SawKill,12,14.4,154.2,2.03,12,85.7,7.4,,,,
6/9/2017,2017,SawKill,14,13.1,266,0.6,34.1,547.5,17.1,,,,
7/14/2017,2017,SawKill,1,20.6,260,5.3,287.8,-999,-999,,,,
7/14/2017,2017,SawKill,2,20.6,394.5,5.1,319.9,-999,-999,,,,
7/14/2017,2017,SawKill,3,20.8,394.8,4.11,238.1,-999,-999,,,,
7/14/2017,2017,SawKill,4,20.5,396,4.39,114.6,-999,-999,,,,
7/14/2017,2017,SawKill,5,19.8,399.5,3.47,275.3,-999,-999,,,,
7/14/2017,2017,SawKill,6,15.6,689,4.68,-24197,-999,-999,,,,
7/14/2017,2017,SawKill,7,20,381.9,3.15,104.7,-999,-999,,,,
7/14/2017,2017,SawKill,8,18.9,298.6,16.8,42.3,-999,-999,,,,
7/14/2017,2017,SawKill,9,15.9,321.6,3.63,82.6,-999,-999,,,,
7/14/2017,2017,SawKill,10,17.5,329.7,3.29,129.9,-999,-999,,,,
7/14/2017,2017,SawKill,11,18.7,237.9,5.89,36.9,-999,-999,,,,
7/14/2017,2017,SawKill,12,19.5,227.9,4.92,47.7,-999,-999,,,,
7/14/2017,2017,SawKill,14,14.5,275.5,1.14,20.2,-999,-999,,,,
8/11/2017,2017,SawKill,1,20.7,83.4,2.08,67.7,325.5,-999,,,,
8/11/2017,2017,SawKill,2,20.6,89.3,2.27,92.2,285.1,7.5,,,,
8/11/2017,2017,SawKill,3,20.7,89.2,3.63,48.1,325.5,8.5,,,,
8/11/2017,2017,SawKill,4,21.5,497.3,3.34,36.2,648.8,17.5,,,,
8/11/2017,2017,SawKill,5,20,474.1,5.41,75.2,344.8,33.1,,,,
8/11/2017,2017,SawKill,6,15.6,863,1.4,2419.6,-24197,142.1,,,,
8/11/2017,2017,SawKill,7,20.9,448.6,2.34,32.4,435.2,8.6,,,,
8/11/2017,2017,SawKill,8,-999,-999,-999,-999,-999,-999,,,,
8/11/2017,2017,SawKill,9,17.2,344,2.41,141.7,2419.6,52,,,,
8/11/2017,2017,SawKill,10,19,368.5,3.67,20.2,686.7,30.5,,,,
8/11/2017,2017,SawKill,11,19.8,246.8,1.78,28.7,238.2,1,,,,
8/11/2017,2017,SawKill,12,17.6,333.2,3.3,35.8,167.4,24.3,,,,
8/11/2017,2017,SawKill,14,16.7,281,1.44,20.5,121.2,7.4,,,,
9/8/2017,2017,SawKill,1,18.2,471,1.28,49,80.5,10.9,,,,
9/8/2017,2017,SawKill,2,16.7,491,1.41,39,50.5,3.1,,,,
9/8/2017,2017,SawKill,3,16.6,481,1.61,71.4,156.1,12,,,,
9/8/2017,2017,SawKill,4,17,419.3,1.45,10.5,183.5,12.1,,,,
9/8/2017,2017,SawKill,5,16,413.7,0.83,32.3,172.7,18.7,,,,
9/8/2017,2017,SawKill,6,13.7,782,0.79,46.1,1732.9,42,,,,
9/8/2017,2017,SawKill,7,16.9,385,0.99,26.9,217.8,13.4,,,,
9/8/2017,2017,SawKill,8,15.2,296.7,2.35,34.3,-24197,365.4,,,,
9/8/2017,2017,SawKill,9,14.6,275.2,0.91,95.7,727,32.7,,,,
9/8/2017,2017,SawKill,10,14.5,338.3,1.91,17.4,1203.3,27.2,,,,
9/8/2017,2017,SawKill,11,14.5,335.7,2.68,40.3,195.1,34.5,,,,
9/8/2017,2017,SawKill,12,15.1,281.2,1.63,31,248.9,7.4,,,,
9/8/2017,2017,SawKill,14,16.7,227.4,1.1,32.6,378.4,21.1,,,,
10/13/2017,2017,SawKill,1,14.7,485,6.25,12.5,472.1,13.2,,,,
10/13/2017,2017,SawKill,2,14.1,544,1.59,40.4,185,18.7,,,,
10/13/2017,2017,SawKill,3,13.7,539,1.76,13.2,14.2,-0.999,,,,
10/13/2017,2017,SawKill,4,14.1,412.8,2.06,28,120.3,5.2,,,,
10/13/2017,2017,SawKill,5,13,404,1.7,21.8,143,29.5,,,,
10/13/2017,2017,SawKill,6,11,741,1.43,478.6,866.4,68.3,,,,
10/13/2017,2017,SawKill,7,15,400.5,1.35,23.4,120.1,7.4,,,,
10/13/2017,2017,SawKill,8,-999,-999,-999,-999,-999,-999,,,,
10/13/2017,2017,SawKill,9,11.1,-999,1.06,28.6,144.5,4.1,,,,
10/13/2017,2017,SawKill,10,11.9,0.3175,2.45,12.4,49.8,5.1,,,,
10/13/2017,2017,SawKill,11,12,269.5,3.06,10.1,7.1,-0.999,,,,
10/13/2017,2017,SawKill,12,14.3,24.9,11.9,29.3,22.7,-0.999,,,,
10/13/2017,2017,SawKill,14,11.9,0.2436,0.81,31.7,88.9,5.2,,,,
11/10/2017,2017,SawKill,1,8.3,481,1.91,40.3,141.2,6.3,,,,
11/10/2017,2017,SawKill,2,6.5,522,1.19,4,10.3,-0.999,,,,
11/10/2017,2017,SawKill,3,5.6,525,2.16,2,4.1,1,,,,
11/10/2017,2017,SawKill,4,-999,-999,1.61,1,20.2,9.7,,,,
11/10/2017,2017,SawKill,5,-999,-999,1.33,5,121,12.2,,,,
11/10/2017,2017,SawKill,6,6.6,590,0.74,26.2,27.8,7.4,,,,
11/10/2017,2017,SawKill,7,-999,-999,1.57,-0.999,52.9,1,,,,
11/10/2017,2017,SawKill,8,6.5,298.9,0.88,2,248.1,1,,,,
11/10/2017,2017,SawKill,9,6.8,282.7,1.3,18.3,48.7,9.8,,,,
11/10/2017,2017,SawKill,10,6.1,249.3,1.11,5.1,160.7,16.1,,,,
11/10/2017,2017,SawKill,11,6.3,201.7,3.5,7.1,76.7,2,,,,
11/10/2017,2017,SawKill,12,6.8,175.4,2.37,28.1,17.4,2,,,,
11/10/2017,2017,SawKill,14,8.1,209.2,0.81,30.5,36.4,-0.999,,,,
12/8/2017,2017,SawKill,1,3.4,328.8,1.62,4.1,41.4,2,40.12,3.372,48.2,17.25
12/8/2017,2017,SawKill,2,3.3,328.5,2.49,3,9.6,4,42.81,4.504,50.78,18.97
12/8/2017,2017,SawKill,3,3.5,320.2,2.38,16.8,32.7,3.1,42.45,2.599,46.3,15.52
12/8/2017,2017,SawKill,4,3.7,299.4,1.47,8.5,45.2,4.1,24.35,3.318,45.42,15.47
12/8/2017,2017,SawKill,5,3.6,289.2,1.38,2,15.5,7.5,52.48,2.144,46.3,15.15
12/8/2017,2017,SawKill,6,4.4,543,1.22,11.6,52.8,6.3,42.82,2.441,76.89,25.45
12/8/2017,2017,SawKill,7,4.4,275,1.59,4.1,19.3,2,58.88,4.735,47.08,16.92
12/8/2017,2017,SawKill,8,3.6,408.5,0.88,1,13.2,-0.999,46.04,0.811,249.7,79.95
12/8/2017,2017,SawKill,9,3.7,250.5,1.79,2,39.5,24.3,10.04,0.872,20.04,7.07
12/8/2017,2017,SawKill,10,3,223,1.26,11.9,30.5,90.6,18.74,1.429,43.29,14.2
12/8/2017,2017,SawKill,11,3.1,308.8,2.14,24.1,35.5,5.2,34.51,1.701,41.06,12.96
12/8/2017,2017,SawKill,12,4,264.2,1.56,8.6,75.4,9.8,49.46,4.179,53.82,19.42
12/8/2017,2017,SawKill,14,7.8,196.2,5.28,7.1,4,1,19.07,1.415,9.365,3.818
1/25/2018,2018,SawKill,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1/25/2018,2018,SawKill,2,0.2,137.6,4.51,8,13.3,-0.999,40.15,5.093,111.3,37.88
1/25/2018,2018,SawKill,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1/25/2018,2018,SawKill,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
